followers,following,followers_ratio,mutual_connections,account_age,profile_complete,bio,comments,label
77199,4988,15.476944667201282,153,1,57,Just another human,Love this!,1
78963,4312,18.3123840445269,311,6,96,AI researcher,Very interesting,1
53005,2603,20.363042643104112,375,2,82,Just another human,Love this!,1
40767,2935,13.889948892674617,345,10,96,Tech enthusiast,Nice post!,0
9702,23,421.82608695652175,149,0,98,AI researcher,Very interesting,1
45768,2203,20.775306400363142,375,8,62,AI researcher,Nice post!,1
72419,1210,59.85041322314049,72,4,93,Just another human,Nice post!,0
71221,2297,31.006094906399653,68,9,84,Traveler and food lover,Love this!,0
65707,749,87.72630173564752,464,0,78,Lover of nature,Very interesting,1
37075,805,46.05590062111801,176,10,54,Traveler and food lover,Awesome!,0
92103,134,687.3358208955224,353,0,52,Tech enthusiast,Nice post!,1
99309,4417,22.483359746434232,1,0,86,AI researcher,Nice post!,0
32616,2438,13.378178835110747,308,11,90,AI researcher,Nice post!,1
11544,434,26.599078341013826,118,8,55,Tech enthusiast,Love this!,0
94673,4969,19.052726906822297,6,12,97,Lover of nature,Love this!,0
40407,3672,11.004084967320262,254,7,91,AI researcher,Nice post!,0
91397,3737,24.45731870484346,483,10,65,Traveler and food lover,Love this!,1
1026,4040,0.25396039603960396,460,12,84,Tech enthusiast,Love this!,1
89799,2099,42.78180085755122,403,14,67,AI researcher,Love this!,1
55601,2918,19.054489376285126,477,12,60,Traveler and food lover,Great content!,1
89822,253,355.02766798418975,413,5,72,Tech enthusiast,Very interesting,1
23257,4835,4.810134436401241,74,9,96,Tech enthusiast,Love this!,1
24310,1130,21.513274336283185,350,14,60,Tech enthusiast,Great content!,0
74075,3265,22.68759571209801,194,14,78,Lover of nature,Great content!,1
82808,302,274.19867549668874,186,5,91,Tech enthusiast,Love this!,0
9278,1978,4.690596562184024,449,5,76,Just another human,Great content!,0
86817,2764,31.409913169319825,495,3,58,Just another human,Awesome!,0
12195,4006,3.04418372441338,2,4,84,Tech enthusiast,Great content!,0
63714,3242,19.652683528685998,183,9,58,AI researcher,Very interesting,1
86789,3058,28.3809679529104,334,2,67,Just another human,Great content!,1
39109,551,70.97822141560799,272,2,93,Traveler and food lover,Love this!,1
8581,1588,5.403652392947103,367,9,70,Traveler and food lover,Nice post!,1
38054,1823,20.874382885353814,51,6,97,AI researcher,Awesome!,1
51224,3218,15.917961466749533,262,4,85,Traveler and food lover,Great content!,0
61238,3497,17.511581355447525,367,7,50,AI researcher,Awesome!,1
48994,4410,11.109750566893425,132,4,76,Traveler and food lover,Very interesting,0
40784,4280,9.528971962616822,481,11,94,Tech enthusiast,Great content!,1
2578,713,3.6157082748948106,224,3,89,Traveler and food lover,Great content!,1
62602,2176,28.769301470588236,309,13,87,Tech enthusiast,Awesome!,0
67573,4073,16.5904738521974,60,2,78,Traveler and food lover,Great content!,0
2705,3850,0.7025974025974026,364,11,89,Traveler and food lover,Great content!,1
48200,2434,19.80279375513558,15,1,68,Traveler and food lover,Nice post!,1
5268,3302,1.5953967292549969,228,2,73,Tech enthusiast,Awesome!,1
87548,271,323.05535055350555,194,6,93,Traveler and food lover,Love this!,1
39514,1795,22.013370473537606,250,7,50,Traveler and food lover,Love this!,1
33169,4907,6.759527206032199,442,14,85,Lover of nature,Very interesting,1
13996,2463,5.68250101502233,302,4,72,Tech enthusiast,Nice post!,0
61868,4294,14.408011178388449,47,10,62,Just another human,Awesome!,1
12676,3395,3.7337260677466864,234,0,79,AI researcher,Awesome!,0
38670,1080,35.80555555555556,120,2,98,Lover of nature,Nice post!,1
3571,2879,1.2403612365404655,498,3,86,Traveler and food lover,Nice post!,1
26864,4724,5.6867061812023705,319,9,60,Just another human,Very interesting,1
64515,604,106.81291390728477,49,12,56,Just another human,Love this!,0
52261,1586,32.95145018915511,468,12,84,Traveler and food lover,Awesome!,1
22672,3058,7.41399607586658,40,11,60,Traveler and food lover,Nice post!,0
8402,3986,2.107877571500251,455,3,98,Lover of nature,Awesome!,1
30545,4690,6.5127931769722816,21,11,92,Tech enthusiast,Love this!,1
78613,1396,56.31303724928367,370,0,96,Lover of nature,Awesome!,1
52266,3689,14.168067226890756,181,9,89,Tech enthusiast,Awesome!,0
89145,600,148.575,4,8,97,Just another human,Nice post!,1
35232,514,68.54474708171206,144,11,70,AI researcher,Nice post!,0
77383,1067,72.52389878163073,356,9,96,Traveler and food lover,Nice post!,0
79585,2887,27.56667821267752,77,14,52,Lover of nature,Love this!,1
96364,2654,36.30896759608139,230,14,79,Just another human,Great content!,0
84661,4906,17.256624541377903,296,3,73,Lover of nature,Love this!,0
63345,1089,58.16804407713499,347,1,87,Tech enthusiast,Nice post!,0
10975,4386,2.5022799817601458,478,12,52,Traveler and food lover,Very interesting,1
24548,4865,5.045837615621788,208,8,86,Tech enthusiast,Awesome!,1
70602,2515,28.072365805168985,162,13,82,Tech enthusiast,Awesome!,0
98028,3970,24.69219143576826,167,3,71,Tech enthusiast,Awesome!,0
8120,3285,2.471841704718417,277,3,80,Just another human,Awesome!,1
79319,4567,17.367856360849572,236,10,95,Traveler and food lover,Very interesting,1
27276,2197,12.41511151570323,175,5,61,AI researcher,Nice post!,0
53002,4184,12.667782026768643,52,7,94,Lover of nature,Great content!,1
82958,790,105.01012658227847,348,4,63,Tech enthusiast,Awesome!,1
98816,3476,28.42807825086306,9,11,61,Traveler and food lover,Great content!,1
6920,3154,2.1940393151553583,145,7,76,Lover of nature,Love this!,0
90992,1665,54.64984984984985,226,0,62,Traveler and food lover,Love this!,1
216,1310,0.1648854961832061,235,12,73,Lover of nature,Awesome!,0
87064,865,100.65202312138729,463,3,87,Traveler and food lover,Nice post!,0
87907,3864,22.750258799171842,241,0,96,AI researcher,Very interesting,0
23429,3364,6.964625445897741,304,2,97,Traveler and food lover,Awesome!,1
50646,3525,14.367659574468085,70,10,58,Traveler and food lover,Love this!,1
50025,3787,13.209664642196989,157,6,57,Tech enthusiast,Love this!,1
54278,24,2261.5833333333335,18,0,86,Tech enthusiast,Great content!,1
87949,3004,29.27729693741678,54,4,64,Tech enthusiast,Very interesting,1
18151,311,58.363344051446944,443,0,56,Traveler and food lover,Awesome!,1
80366,1232,65.23214285714286,214,5,73,AI researcher,Nice post!,0
71920,3789,18.98126154658221,455,8,98,Lover of nature,Great content!,0
56054,2712,20.6688790560472,208,2,65,Tech enthusiast,Very interesting,0
67224,4802,13.999167013744273,20,10,73,Just another human,Great content!,0
33837,422,80.1824644549763,281,10,92,Traveler and food lover,Nice post!,1
55830,1774,31.471251409244644,248,13,56,AI researcher,Love this!,1
62633,3569,17.549173437937796,27,11,92,AI researcher,Awesome!,1
81744,947,86.31890179514255,422,14,77,Tech enthusiast,Awesome!,1
75460,1187,63.57203032855939,416,5,51,Tech enthusiast,Nice post!,1
93436,1835,50.918801089918254,295,3,83,Just another human,Awesome!,1
22309,1565,14.254952076677316,210,5,87,Just another human,Awesome!,0
43595,4945,8.8159757330637,284,1,52,Tech enthusiast,Great content!,0
64054,1948,32.88193018480493,19,3,50,Lover of nature,Nice post!,0
42567,1309,32.518716577540104,19,12,80,Tech enthusiast,Great content!,1
49090,2987,16.434549715433544,329,12,72,Tech enthusiast,Awesome!,1
2703,387,6.984496124031008,395,6,69,AI researcher,Very interesting,1
95013,1162,81.76678141135973,119,10,65,Tech enthusiast,Very interesting,1
95269,3259,29.232586683031606,96,5,95,Tech enthusiast,Great content!,1
69173,4812,14.375103906899419,119,8,81,Tech enthusiast,Love this!,0
25949,3934,6.596085409252669,24,10,66,Lover of nature,Love this!,1
48935,2848,17.182233146067414,152,6,67,AI researcher,Nice post!,1
42951,4522,9.498230871295887,244,0,53,Traveler and food lover,Very interesting,0
21844,1440,15.169444444444444,259,5,84,Traveler and food lover,Very interesting,0
18057,3443,5.244554167876852,3,10,89,Traveler and food lover,Great content!,1
26115,4481,5.827940191921446,392,2,85,Traveler and food lover,Awesome!,0
75776,56,1353.142857142857,142,7,72,AI researcher,Nice post!,1
15717,3325,4.7269172932330825,281,12,64,Tech enthusiast,Great content!,1
21986,106,207.41509433962264,334,0,62,Traveler and food lover,Love this!,0
44272,3202,13.826358525921298,345,9,63,Tech enthusiast,Awesome!,1
23786,670,35.50149253731343,219,1,63,Traveler and food lover,Nice post!,1
30090,4472,6.728533094812165,326,2,86,Lover of nature,Awesome!,0
66852,743,89.97577388963661,159,13,54,Tech enthusiast,Love this!,1
61383,967,63.47776628748707,75,2,71,AI researcher,Great content!,1
6786,308,22.032467532467532,98,6,77,Lover of nature,Great content!,1
92797,2139,43.383356708742404,179,12,94,Lover of nature,Very interesting,1
55026,3465,15.88051948051948,126,7,53,AI researcher,Great content!,0
9484,4898,1.9363005308289098,31,14,99,Lover of nature,Very interesting,1
58063,110,527.8454545454546,264,8,87,Tech enthusiast,Great content!,0
21969,3633,6.047068538398018,333,6,78,Just another human,Nice post!,0
5540,4436,1.248872858431019,12,7,86,Just another human,Love this!,1
94866,1916,49.512526096033405,439,10,84,Traveler and food lover,Awesome!,0
3758,4264,0.8813320825515948,379,14,69,Traveler and food lover,Love this!,0
97514,557,175.07001795332135,427,5,84,Tech enthusiast,Love this!,1
98108,105,934.3619047619047,480,1,84,AI researcher,Very interesting,1
13555,2048,6.61865234375,351,0,69,Tech enthusiast,Very interesting,0
66209,146,453.486301369863,338,2,51,Traveler and food lover,Nice post!,1
34776,2764,12.58176555716353,413,8,67,Lover of nature,Awesome!,0
73540,874,84.14187643020595,399,12,79,Tech enthusiast,Great content!,1
93567,299,312.933110367893,395,6,91,Tech enthusiast,Great content!,1
61097,3239,18.862920654523002,201,1,78,AI researcher,Love this!,1
95849,646,148.37306501547988,449,13,88,Traveler and food lover,Nice post!,1
68850,4734,14.543726235741445,17,0,71,Tech enthusiast,Awesome!,0
54394,3079,17.66612536537837,396,1,78,Lover of nature,Great content!,0
51015,2512,20.308519108280255,92,14,95,Lover of nature,Love this!,1
46586,784,59.420918367346935,279,2,59,Just another human,Nice post!,1
39363,4993,7.8836370919287,357,13,69,Traveler and food lover,Awesome!,1
62013,371,167.1509433962264,395,5,65,Lover of nature,Love this!,1
83221,487,170.88501026694044,315,11,55,AI researcher,Love this!,0
52743,2038,25.879784102060842,59,8,66,Traveler and food lover,Nice post!,1
65328,3197,20.43415702220832,476,7,55,Lover of nature,Nice post!,1
89484,1361,65.74871418074945,213,9,71,Tech enthusiast,Nice post!,0
23674,4288,5.520988805970149,99,8,67,Traveler and food lover,Nice post!,1
67182,4826,13.92084542063821,0,10,81,Lover of nature,Awesome!,1
85626,2262,37.854111405835546,42,10,77,Tech enthusiast,Nice post!,1
93274,2622,35.57360793287567,310,7,91,Just another human,Nice post!,1
26746,957,27.94775339602926,167,6,59,Traveler and food lover,Nice post!,1
94219,381,247.29396325459317,191,5,90,Traveler and food lover,Awesome!,1
864,3650,0.23671232876712328,33,7,71,Lover of nature,Great content!,0
90094,4894,18.409072333469556,33,5,77,Just another human,Love this!,1
38633,239,161.64435146443515,175,1,64,AI researcher,Very interesting,1
7402,1106,6.69258589511754,416,12,92,Lover of nature,Love this!,1
55690,1387,40.151405912040374,195,8,78,Lover of nature,Awesome!,0
46727,2553,18.302781041911476,485,8,56,AI researcher,Nice post!,1
87102,2250,38.712,157,2,99,AI researcher,Awesome!,1
50869,1528,33.291230366492144,244,8,83,AI researcher,Great content!,1
26319,1668,15.778776978417266,499,1,81,AI researcher,Very interesting,0
87465,4133,21.162593757561094,365,11,51,AI researcher,Great content!,1
63744,2692,23.679049034175335,339,13,75,Tech enthusiast,Nice post!,1
70477,3673,19.187857337326435,345,2,94,Tech enthusiast,Awesome!,1
52672,1997,26.375563345017525,334,13,60,AI researcher,Awesome!,0
98516,1426,69.08555399719495,70,5,74,Just another human,Nice post!,1
12698,2813,4.514041948098116,326,13,68,Just another human,Nice post!,1
25352,3248,7.805418719211823,113,3,69,AI researcher,Very interesting,0
37167,2593,14.333590435788661,284,7,82,Tech enthusiast,Great content!,0
67873,1491,45.521797451374916,406,0,66,Just another human,Nice post!,1
52093,1225,42.524897959183676,417,12,79,Tech enthusiast,Nice post!,1
65743,2588,25.403013910355487,467,5,67,Lover of nature,Great content!,0
89055,3065,29.05546492659054,142,1,81,Tech enthusiast,Nice post!,1
34708,833,41.66626650660264,96,5,89,AI researcher,Very interesting,1
80633,4693,17.181546984871083,308,13,94,Traveler and food lover,Very interesting,1
22681,2441,9.291683736173699,400,0,53,AI researcher,Great content!,1
25194,4796,5.253127606338616,319,14,81,Lover of nature,Love this!,1
93394,1647,56.70552519732848,211,1,68,Tech enthusiast,Very interesting,1
42117,441,95.50340136054422,316,8,52,Just another human,Awesome!,1
86212,1530,56.34771241830065,184,5,87,AI researcher,Awesome!,1
51673,2966,17.421780175320297,204,7,77,Just another human,Love this!,1
15718,2368,6.637668918918919,363,6,87,Tech enthusiast,Very interesting,1
91916,3287,27.96349254639489,215,8,55,Lover of nature,Nice post!,1
49821,4664,10.682032590051458,245,8,89,AI researcher,Love this!,1
2821,4332,0.6512003693444137,238,10,66,Just another human,Nice post!,0
56260,1305,43.111111111111114,292,3,91,AI researcher,Awesome!,0
72092,3035,23.75354200988468,390,6,54,AI researcher,Love this!,1
34764,3689,9.423692057468148,7,4,68,Just another human,Very interesting,0
95752,3974,24.094614997483642,470,6,92,Lover of nature,Awesome!,0
11421,1186,9.629848229342327,77,3,91,AI researcher,Very interesting,1
2921,3263,0.8951884768617836,323,11,84,Lover of nature,Nice post!,1
67280,2108,31.916508538899432,276,9,71,Lover of nature,Very interesting,1
83773,1841,45.50407387289516,444,10,73,Tech enthusiast,Love this!,1
8690,4321,2.0111085396898867,493,10,59,Just another human,Nice post!,1
84906,2748,30.897379912663755,201,0,51,Tech enthusiast,Love this!,1
83889,4678,17.932663531423685,213,3,77,Traveler and food lover,Nice post!,1
71305,4265,16.718640093786636,93,14,90,Tech enthusiast,Love this!,0
88624,3134,28.278238672622845,477,12,86,AI researcher,Awesome!,1
11121,3421,3.2508038585209005,463,9,66,AI researcher,Love this!,1
37514,1466,25.5893587994543,74,14,55,AI researcher,Awesome!,0
1812,4110,0.4408759124087591,469,2,92,Traveler and food lover,Great content!,1
8165,2212,3.6912296564195297,156,8,54,Lover of nature,Very interesting,1
73666,2805,26.262388591800356,152,4,88,AI researcher,Nice post!,0
39394,1544,25.514248704663213,441,3,56,Tech enthusiast,Very interesting,0
47264,1690,27.966863905325443,141,7,81,Lover of nature,Awesome!,1
21928,1572,13.94910941475827,77,14,53,Tech enthusiast,Awesome!,0
85991,4542,18.932408630559227,321,4,70,Tech enthusiast,Awesome!,1
60723,3280,18.51310975609756,181,2,91,AI researcher,Love this!,0
30316,3542,8.559006211180124,460,1,81,Tech enthusiast,Very interesting,1
16656,4812,3.4613466334164587,194,14,67,Traveler and food lover,Awesome!,0
46853,3024,15.493716931216932,157,7,82,Lover of nature,Great content!,0
96611,819,117.96214896214896,145,11,63,AI researcher,Awesome!,0
90745,4522,20.067448031844318,53,1,55,AI researcher,Very interesting,0
16381,1125,14.560888888888888,355,13,60,Tech enthusiast,Awesome!,1
77381,4946,15.645167812373636,276,7,95,Tech enthusiast,Awesome!,0
2059,1130,1.8221238938053097,308,4,69,Just another human,Nice post!,1
31626,1703,18.570757486788022,82,7,78,Just another human,Awesome!,0
20942,2002,10.46053946053946,399,4,84,AI researcher,Very interesting,1
29865,3879,7.6991492652745555,155,0,65,AI researcher,Nice post!,1
61444,4373,14.050766064486622,3,11,97,Tech enthusiast,Nice post!,0
72704,1807,40.23464305478694,498,12,56,Traveler and food lover,Awesome!,1
43026,2948,14.594979647218453,310,10,89,Traveler and food lover,Awesome!,1
7410,3210,2.308411214953271,270,13,85,Tech enthusiast,Great content!,1
42652,2153,19.810496980956806,63,10,93,Just another human,Very interesting,1
15161,4642,3.2660491167600174,448,1,93,Just another human,Very interesting,1
51417,4206,12.224679029957205,111,13,80,Traveler and food lover,Love this!,0
66700,545,122.38532110091744,238,5,91,AI researcher,Love this!,1
4509,2402,1.8771856786011656,143,2,93,Tech enthusiast,Very interesting,1
6305,4839,1.3029551560239718,373,7,92,AI researcher,Awesome!,0
59050,2365,24.968287526427062,19,4,92,Just another human,Nice post!,0
12193,1290,9.451937984496125,63,2,96,Traveler and food lover,Great content!,1
29309,3766,7.782527881040892,288,11,55,AI researcher,Awesome!,1
12884,1876,6.867803837953092,80,9,78,Just another human,Nice post!,1
32721,4429,7.387897945360127,196,6,76,Just another human,Very interesting,1
5549,4688,1.183660409556314,381,13,92,Just another human,Awesome!,1
53361,783,68.14942528735632,68,7,51,AI researcher,Great content!,1
61277,540,113.47592592592592,185,3,71,Lover of nature,Love this!,1
48364,2783,17.378368666906216,166,12,58,Traveler and food lover,Nice post!,1
2567,2669,0.9617834394904459,204,12,60,Just another human,Awesome!,0
38370,4715,8.137857900318133,491,10,65,AI researcher,Great content!,0
82028,3938,20.829862874555612,163,8,94,Tech enthusiast,Awesome!,1
2210,2957,0.7473791004396347,93,5,62,Traveler and food lover,Very interesting,1
68507,3723,18.401020682245502,248,13,67,Tech enthusiast,Nice post!,1
46985,3868,12.147104446742503,67,0,74,Tech enthusiast,Very interesting,0
21367,1834,11.650490730643403,342,4,82,AI researcher,Very interesting,1
77515,2147,36.10386585933861,20,4,59,Lover of nature,Love this!,1
2879,2171,1.3261169967756794,318,6,79,AI researcher,Very interesting,0
61145,3392,18.02623820754717,84,6,98,AI researcher,Great content!,1
50118,1617,30.99443413729128,389,5,50,Traveler and food lover,Nice post!,1
94189,4618,20.396058899956692,23,14,82,AI researcher,Love this!,0
90282,917,98.45365321701199,110,14,98,Traveler and food lover,Awesome!,1
38477,4813,7.994390193226677,436,7,64,Just another human,Very interesting,1
23338,2757,8.46499818643453,350,1,78,Traveler and food lover,Awesome!,1
91422,1937,47.1977284460506,82,13,51,AI researcher,Love this!,1
86841,4043,21.479347019539947,357,12,60,Just another human,Awesome!,1
3997,3092,1.2926908150064682,459,12,83,Just another human,Great content!,1
58881,4656,12.646262886597938,77,6,90,Lover of nature,Love this!,1
22409,969,23.12590299277606,433,9,68,AI researcher,Nice post!,0
46224,3365,13.73670133729569,379,14,51,Tech enthusiast,Nice post!,1
99532,3204,31.064918851435706,139,6,97,AI researcher,Nice post!,0
86426,890,97.10786516853932,439,3,69,Tech enthusiast,Nice post!,1
70281,793,88.62673392181588,375,11,90,Lover of nature,Love this!,0
44074,3459,12.74183289968199,270,9,80,AI researcher,Love this!,1
70101,982,71.38594704684317,338,1,53,Lover of nature,Love this!,1
40828,3532,11.559456398640997,475,3,78,Tech enthusiast,Very interesting,1
45535,3530,12.89943342776204,423,3,79,Traveler and food lover,Love this!,0
19840,802,24.738154613466335,168,11,62,AI researcher,Love this!,1
17439,43,405.5581395348837,196,11,64,Just another human,Love this!,1
6903,3350,2.060597014925373,452,5,69,Just another human,Nice post!,0
79919,1778,44.94881889763779,261,13,83,Lover of nature,Great content!,0
47343,3202,14.785446595877577,214,6,77,Traveler and food lover,Nice post!,0
3446,350,9.845714285714285,66,2,69,Just another human,Great content!,0
74300,1568,47.38520408163265,228,14,99,Just another human,Great content!,1
76223,1130,67.45398230088496,160,9,74,AI researcher,Great content!,1
5905,2960,1.9949324324324325,426,0,76,Just another human,Nice post!,0
19748,3788,5.213305174234424,121,2,79,Tech enthusiast,Very interesting,1
30756,1781,17.268950028074116,148,8,90,Lover of nature,Awesome!,0
49387,584,84.5667808219178,339,0,69,Just another human,Very interesting,0
48414,4528,10.69213780918728,192,12,50,AI researcher,Nice post!,1
54055,3378,16.002072232089994,230,7,84,Tech enthusiast,Great content!,0
97898,3402,28.776601998824223,110,1,98,Just another human,Awesome!,0
39800,3186,12.492153170119272,144,5,92,Lover of nature,Very interesting,0
5610,2195,2.5558086560364464,220,2,73,Lover of nature,Love this!,1
94670,1163,81.40154772141014,391,6,74,Lover of nature,Very interesting,0
93189,299,311.66889632107024,63,1,89,Just another human,Nice post!,0
40774,3348,12.178614097968937,125,3,61,Tech enthusiast,Awesome!,1
74553,1940,38.42938144329897,217,9,60,Traveler and food lover,Love this!,1
45724,789,57.951837769328264,283,8,79,Lover of nature,Awesome!,1
56845,4946,11.493125758188436,353,5,62,Tech enthusiast,Awesome!,0
73754,2890,25.520415224913496,473,3,96,AI researcher,Very interesting,0
56501,1378,41.002177068214806,396,1,74,AI researcher,Great content!,0
18599,1950,9.537948717948717,235,9,74,Tech enthusiast,Very interesting,1
43494,3273,13.288725939505042,484,13,66,AI researcher,Love this!,1
82999,878,94.53189066059225,12,8,61,AI researcher,Nice post!,1
36222,3743,9.677264226556238,421,14,60,Lover of nature,Very interesting,1
43535,1578,27.58871989860583,152,3,59,Just another human,Great content!,0
47212,3140,15.035668789808918,238,8,66,Just another human,Great content!,1
32645,2493,13.094665062174087,189,13,94,Just another human,Very interesting,1
63218,2756,22.93831640058055,150,1,65,Just another human,Love this!,0
33838,1904,17.772058823529413,85,6,69,Tech enthusiast,Great content!,1
18721,1383,13.53651482284888,20,10,98,Lover of nature,Great content!,0
3430,4241,0.8087715161518509,181,10,54,Tech enthusiast,Love this!,0
96762,2323,41.653895824365044,318,4,90,AI researcher,Love this!,1
311,2557,0.12162690653109112,157,7,81,Lover of nature,Love this!,1
45246,1862,24.299677765843178,458,10,76,Traveler and food lover,Love this!,1
66245,1867,35.48205677557579,451,13,53,Just another human,Very interesting,0
54250,4048,13.401679841897232,480,7,90,AI researcher,Very interesting,1
65736,3176,20.697732997481108,366,13,97,Just another human,Awesome!,0
10502,1099,9.555959963603275,75,13,56,Just another human,Awesome!,0
6112,1735,3.5227665706051874,328,3,95,Just another human,Awesome!,0
50346,4664,10.79459691252144,415,12,63,Traveler and food lover,Great content!,1
85324,3417,24.970441908106526,202,3,88,AI researcher,Love this!,1
26651,4627,5.759887616165982,228,14,73,Just another human,Very interesting,1
34594,681,50.798825256975036,151,7,97,Just another human,Very interesting,1
32755,2071,15.816030902945437,262,2,67,Lover of nature,Love this!,0
23103,4825,4.788186528497409,71,6,87,Just another human,Awesome!,1
66115,1730,38.216763005780344,224,7,88,Lover of nature,Great content!,1
51895,2192,23.67472627737226,472,7,89,AI researcher,Very interesting,1
36641,668,54.85179640718563,384,10,50,AI researcher,Nice post!,0
73001,1613,45.257904525728456,130,9,66,AI researcher,Great content!,1
4024,681,5.908957415565345,359,3,75,Lover of nature,Great content!,1
11103,973,11.411099691675231,27,8,71,Traveler and food lover,Awesome!,0
18080,2847,6.350544432736213,298,14,88,Traveler and food lover,Love this!,0
35787,2133,16.77777777777778,96,9,67,Just another human,Nice post!,0
56968,2464,23.12012987012987,45,3,87,AI researcher,Awesome!,1
82084,2530,32.44426877470356,0,7,77,Tech enthusiast,Love this!,0
10739,2504,4.288738019169329,165,5,70,Just another human,Nice post!,1
99723,4923,20.256550883607556,244,4,87,Traveler and food lover,Very interesting,1
45027,4393,10.249715456407921,218,14,82,Traveler and food lover,Nice post!,1
66330,3184,20.832286432160803,101,3,79,AI researcher,Awesome!,1
27761,4034,6.88175508180466,290,4,91,Lover of nature,Nice post!,1
78079,3168,24.64614898989899,457,14,57,Just another human,Nice post!,1
54758,2998,18.264843228819213,203,12,79,Lover of nature,Nice post!,1
5811,3228,1.800185873605948,201,14,88,Traveler and food lover,Very interesting,1
19200,2153,8.917789131444495,53,10,58,AI researcher,Love this!,1
49699,1729,28.74436090225564,481,0,82,Traveler and food lover,Nice post!,0
